index_id,result_from,creationDate,daysOnZillow,isPreforeclosureAuction,lotAreaValue,latitude,unit,livingArea,streetAddress,shouldHighlight,isNonOwnerOccupied,longitude,price,isFeatured,priceChange,group_type,providerListingID,listing_sub_type,rentZestimate,newConstructionType,homeStatusForHDP,zpid,currency,isUnmappable,isShowcaseListing,bathrooms,priceReduction,state,homeStatus,bedrooms,taxAssessedValue,city,zipcode,isPremierBuilder,lotAreaUnit,priceForHDP,homeType,country,datePriceChanged,isZillowOwned,zestimate,timeOnZillow,priceSuffix
19,listing_url,2024-04-30,4,false,0.37,42.352657,,,5045 Trumbull St,false,true,-83.07947,900000,false,-195000,,,[object Object],1678,,FOR_SALE,2056052463,USD,false,false,,"$195,000 (Apr 1)",MI,FOR_SALE,,,Detroit,48208,false,acres,900000,MULTI_FAMILY,USA,1711954800000,false,,354521000,
20,listing_url,2024-04-30,40,false,3920.4,42.36228,,2290,6176 Avery St,false,true,-83.08683,299900,false,,,,[object Object],1400,,FOR_SALE,88493801,USD,false,false,3,,MI,FOR_SALE,,11400,Detroit,48208,false,sqft,299900,MULTI_FAMILY,USA,,false,301000,3536771000,
21,listing_url,2024-04-30,34,false,,42.358803,Apt 110,777,5766 Trumbull St APT 110,false,true,-83.082375,275000,false,,,,[object Object],1202,,FOR_SALE,2131104296,USD,false,false,1,,MI,FOR_SALE,1,,Detroit,48208,false,,275000,CONDO,USA,,false,277400,3018371000,
22,listing_url,2024-04-30,70,false,,42.346146,# 2,1200,4130 Trumbull St #2,false,true,-83.0749,409900,false,,,,[object Object],2771,NEW_CONSTRUCTION_TYPE_OTHER,FOR_SALE,331229732,USD,false,false,2,,MI,FOR_SALE,2,1400,Detroit,48208,false,,409900,CONDO,USA,,false,402800,6128771000,
23,listing_url,2024-04-30,132,false,,42.340443,# 9,1250,3415 Cochrane St #9,false,true,-83.07453,385750,false,3000,,,[object Object],2563,NEW_CONSTRUCTION_TYPE_OTHER,FOR_SALE,2053655118,USD,false,false,3,,MI,FOR_SALE,2,,Detroit,48208,false,,385750,TOWNHOUSE,USA,1708502400000,false,378100,11485571000,
24,listing_url,2024-04-30,88,false,,42.339523,,1545,3305 Cochrane St,false,true,-83.074196,499999,false,-10000,,,[object Object],3316,,FOR_SALE,2068538379,USD,false,false,3,"$10,000 (Mar 26)",MI,FOR_SALE,3,,Detroit,48208,false,,499999,TOWNHOUSE,USA,1711436400000,false,488000,7683971000,
25,listing_url,2024-04-30,19,false,,42.34789,,1916,4312 Lincoln St,false,true,-83.07479,670000,false,,,28731866,[object Object],2400,BUILDER_SPEC,FOR_SALE,2062645488,USD,false,false,3,,MI,FOR_SALE,3,,Detroit,48208,true,,670000,CONDO,USA,,false,665000,1722371000,
26,listing_url,2024-04-30,685,false,,42.341953,,1545,4463 23rd St,false,true,-83.09765,99000,false,,,,[object Object],1749,,FOR_SALE,88244778,USD,false,false,2,,MI,FOR_SALE,4,3500,Detroit,48208,false,,99000,CONDO,USA,,false,,59264771000,
27,listing_url,2024-04-30,63,false,,42.346146,# 6,1418,4130 Trumbull St #6,false,true,-83.0749,429900,false,,,,[object Object],2906,,FOR_SALE,331229736,USD,false,false,2,,MI,FOR_SALE,2,1400,Detroit,48208,false,,429900,CONDO,USA,,false,423200,5523971000,
28,listing_url,2024-04-30,118,false,3484.8,42.358505,,2326,6073 15th St,false,true,-83.093796,99900,false,,,,[object Object],1050,,FOR_SALE,88304460,USD,false,false,2,,MI,FOR_SALE,,18800,Detroit,48208,false,sqft,99900,MULTI_FAMILY,USA,,false,98800,10275971000,
