index_id ,result_from ,creationDate ,unit   ,homeStatusForHDP ,zpid       ,priceForHDP ,zipcode ,bathrooms ,state ,country ,homeType      ,streetAddress           ,isNonOwnerOccupied ,isFeatured ,taxAssessedValue ,latitude  ,daysOnZillow ,city    ,isUnmappable ,open_house_info ,livingArea ,longitude   ,listing_sub_type ,price   ,bedrooms ,isPremierBuilder ,lotAreaUnit ,shouldHighlight ,isPreforeclosureAuction ,homeStatus ,lotAreaValue ,isZillowOwned ,isShowcaseListing ,openHouse        ,currency
      29 ,listing_url ,2024-04-30   ,       ,FOR_SALE         , 314475642 ,    3488000 ,V5J1M7  ,        7 ,BC    ,CAN     ,SINGLE_FAMILY ,4242 Hurst St           ,true               ,false      ,         2354000 ,49.219967 ,-1           ,Burnaby ,false        ,                ,      4035 ,-123.00985  ,[object Object]  ,3488000 ,       8 ,false            ,sqft        ,false           ,false                   ,FOR_SALE   ,     7405.2  ,false         ,false             ,                 ,CAD
      30 ,listing_url ,2024-04-30   ,# 29   ,FOR_SALE         ,2052929989 ,     749000 ,V5J0A1  ,        1 ,BC    ,CAN     ,TOWNHOUSE     ,7388 Macpherson Ave #29 ,true               ,false      ,                 ,49.217224 ,-1           ,Burnaby ,false        ,                ,       891 ,-122.98242  ,[object Object]  , 749000 ,       2 ,false            ,sqft        ,false           ,false                   ,FOR_SALE   ,        0    ,false         ,false             ,                 ,CAD
      31 ,listing_url ,2024-04-30   ,       ,FOR_SALE         , 314478228 ,    3300000 ,V5J2R5  ,        5 ,BC    ,CAN     ,SINGLE_FAMILY ,5507 Portland St        ,true               ,false      ,         2164000 ,49.212357 ,-1           ,Burnaby ,false        ,                ,      3952 ,-122.98428  ,[object Object]  ,3300000 ,       5 ,false            ,sqft        ,false           ,false                   ,FOR_SALE   ,     5662.8  ,false         ,false             ,                 ,CAD
      32 ,listing_url ,2024-04-30   ,       ,FOR_SALE         , 314478861 ,    3888000 ,V5J2Z3  ,        7 ,BC    ,CAN     ,SINGLE_FAMILY ,5549 Carson St          ,true               ,false      ,         2226000 ,49.209656 ,-1           ,Burnaby ,false        ,                ,      4464 ,-122.983826 ,[object Object]  ,3888000 ,       7 ,false            ,sqft        ,false           ,false                   ,FOR_SALE   ,     7840.8  ,false         ,false             ,                 ,CAD
      33 ,listing_url ,2024-04-30   ,# 516  ,FOR_SALE         , 348359302 ,    1020000 ,V5J0J7  ,        3 ,BC    ,CAN     ,TOWNHOUSE     ,6085 Irmin St #516      ,true               ,false      ,                 ,49.21604  ,-1           ,Burnaby ,false        ,                ,      1069 ,-122.97607  ,[object Object]  ,1020000 ,       2 ,false            ,sqft        ,false           ,false                   ,FOR_SALE   ,        0    ,false         ,false             ,                 ,CAD
      34 ,listing_url ,2024-04-30   ,       ,FOR_SALE         , 314489701 ,    2998000 ,V5J4Z1  ,        7 ,BC    ,CAN     ,SINGLE_FAMILY ,8579 Gilley Ave         ,true               ,false      ,         2006000 ,49.2068   ,-1           ,Burnaby ,false        ,                ,      4800 ,-122.97504  ,[object Object]  ,2998000 ,       6 ,false            ,sqft        ,false           ,false                   ,FOR_SALE   ,     8276.4  ,false         ,false             ,                 ,CAD
      35 ,listing_url ,2024-04-30   ,       ,FOR_SALE         , 314479046 ,    1799000 ,V5J3B3  ,        3 ,BC    ,CAN     ,SINGLE_FAMILY ,5644 Patrick St         ,true               ,false      ,         1433300 ,49.208305 ,-1           ,Burnaby ,false        ,                ,      2578 ,-122.982056 ,[object Object]  ,1799000 ,       5 ,false            ,sqft        ,false           ,false                   ,FOR_SALE   ,     6098.4  ,false         ,false             ,                 ,CAD
      36 ,listing_url ,2024-04-30   ,# 17   ,FOR_SALE         ,2076465759 ,    1290000 ,V5J1H8  ,        3 ,BC    ,CAN     ,TOWNHOUSE     ,6288 Beresford St #17   ,true               ,false      ,                 ,49.221256 ,-1           ,Burnaby ,false        ,                ,      1320 ,-122.99217  ,[object Object]  ,1290000 ,       3 ,false            ,sqft        ,false           ,false                   ,FOR_SALE   ,        0    ,false         ,false             ,                 ,CAD
      37 ,listing_url ,2024-04-30   ,# 405  ,FOR_SALE         ,2068897819 ,     799000 ,V5J4K2  ,        2 ,BC    ,CAN     ,CONDO         ,7727 Royal Oak Ave #405 ,true               ,false      ,                 ,49.21361  ,-1           ,Burnaby ,false        ,                ,       810 ,-122.98902  ,[object Object]  , 799000 ,       2 ,false            ,sqft        ,false           ,false                   ,FOR_SALE   ,        0    ,false         ,false             ,                 ,CAD
      38 ,listing_url ,2024-04-30   ,# 119  ,FOR_SALE         , 343044703 ,     599900 ,V5J4K2  ,        1 ,BC    ,CAN     ,CONDO         ,7777 Royal Oak Ave #119 ,true               ,false      ,                 ,49.21327  ,-1           ,Burnaby ,false        ,                ,       646 ,-122.98902  ,[object Object]  , 599900 ,       1 ,false            ,sqft        ,false           ,false                   ,FOR_SALE   ,        0    ,false         ,false             ,                 ,CAD
      39 ,listing_url ,2024-04-30   ,       ,FOR_SALE         , 314485368 ,    2898000 ,V5J3X5  ,        6 ,BC    ,CAN     ,SINGLE_FAMILY ,7693 Dow Ave            ,true               ,false      ,         2007000 ,49.213764 ,-1           ,Burnaby ,false        ,[object Object] ,      4734 ,-123.003    ,[object Object]  ,2898000 ,       6 ,false            ,sqft        ,false           ,false                   ,FOR_SALE   ,     7840.8  ,false         ,false             ,Sat. 2-4pm       ,CAD
      40 ,listing_url ,2024-04-30   ,# 304  ,FOR_SALE         , 344780446 ,     475000 ,V5J0C1  ,        1 ,BC    ,CAN     ,CONDO         ,5889 Irmin St #304      ,true               ,false      ,                 ,          ,-1           ,Burnaby ,false        ,                ,       517 ,            ,[object Object]  , 475000 ,       1 ,false            ,sqft        ,false           ,false                   ,FOR_SALE   ,        0    ,false         ,false             ,                 ,CAD
      41 ,listing_url ,2024-04-30   ,# 2406 ,FOR_SALE         , 348358072 ,     689000 ,V5J0J3  ,        1 ,BC    ,CAN     ,CONDO         ,5051 Imperial St #2406  ,true               ,false      ,                 ,49.222115 ,-1           ,Burnaby ,false        ,                ,       536 ,-122.99209  ,[object Object]  , 689000 ,       1 ,false            ,sqft        ,false           ,false                   ,FOR_SALE   ,        0    ,false         ,false             ,                 ,CAD
