index_id ,result_from ,zpid       ,creationDate ,isShowcaseListing ,lotAreaValue ,streetAddress             ,unit        ,bedrooms ,longitude   ,rentZestimate ,zestimate ,priceChange ,homeType      ,isUnmappable ,state ,newConstructionType ,isFeatured ,zipcode ,latitude  ,priceReduction ,taxAssessedValue ,datePriceChanged ,country ,isPreforeclosureAuction ,bathrooms ,openHouse  ,shouldHighlight ,videoCount ,lotAreaUnit ,city    ,homeStatusForHDP ,currency ,homeStatus ,price   ,priceForHDP ,open_house_info ,livingArea ,listing_sub_type ,isZillowOwned ,isPremierBuilder ,isNonOwnerOccupied ,daysOnZillow
      26 ,listing_url , 314475845 ,2023-11-01   ,FALSE             ,     7405.2  ,4313 Victory St           ,            ,       3 ,-123.008156 ,              ,          ,            ,SINGLE_FAMILY ,False        ,BC    ,                    ,False      ,V5J1R1  ,49.218628 ,               ,       1674900.0 ,                 ,CAN     ,False                   ,        4 ,           ,False           ,           ,sqft        ,Burnaby ,FOR_SALE         ,CAD      ,FOR_SALE   ,2280000 ,    2280000 ,                ,      2355 ,[object Object]  ,False         ,False            ,True               ,-1
      27 ,listing_url , 314486505 ,2023-11-01   ,FALSE             ,        0.0  ,6958 Dunblane Ave         ,            ,       3 ,-122.9927   ,              ,          ,            ,MULTI_FAMILY  ,False        ,BC    ,                    ,False      ,V5J4G2  ,49.220257 ,               ,       1004000.0 ,                 ,CAN     ,False                   ,        3 ,           ,False           ,           ,sqft        ,Burnaby ,FOR_SALE         ,CAD      ,FOR_SALE   ,1498000 ,    1498000 ,                ,      1432 ,[object Object]  ,False         ,False            ,True               ,-1
      28 ,listing_url , 314478052 ,2023-11-01   ,FALSE             ,     6969.6  ,7950 Suncrest Dr          ,            ,       5 ,-123.01367  ,              ,          ,            ,SINGLE_FAMILY ,False        ,BC    ,                    ,False      ,V5J3N5  ,49.21178  ,               ,       1414500.0 ,                 ,CAN     ,False                   ,        2 ,           ,False           ,           ,sqft        ,Burnaby ,FOR_SALE         ,CAD      ,FOR_SALE   ,1650000 ,    1650000 ,                ,      2105 ,[object Object]  ,False         ,False            ,True               ,-1
      29 ,listing_url ,2055224788 ,2023-11-01   ,FALSE             ,        0.0  ,7470 Buller Ave #1202     ,# 1202      ,       4 ,-122.97601  ,              ,          ,            ,TOWNHOUSE     ,False        ,BC    ,                    ,False      ,V5J4S5  ,49.215996 ,               ,                 ,                 ,CAN     ,False                   ,        3 ,           ,False           ,           ,sqft        ,Burnaby ,FOR_SALE         ,CAD      ,FOR_SALE   ,1399900 ,    1399900 ,                ,      1824 ,[object Object]  ,False         ,False            ,True               ,-1
      30 ,listing_url , 314477755 ,2023-11-01   ,FALSE             ,     6534.0  ,4069 Clinton St           ,            ,       8 ,-123.013435 ,              ,          ,            ,SINGLE_FAMILY ,False        ,BC    ,                    ,False      ,V5J2K4  ,49.212994 ,               ,       1800000.0 ,                 ,CAN     ,False                   ,        8 ,           ,False           ,           ,sqft        ,Burnaby ,FOR_SALE         ,CAD      ,FOR_SALE   ,3299000 ,    3299000 ,                ,      4092 ,[object Object]  ,False         ,False            ,True               ,-1
      31 ,listing_url , 314479011 ,2023-11-01   ,FALSE             ,     6098.4  ,5350 Patrick St           ,            ,       2 ,-122.986465 ,              ,          ,            ,SINGLE_FAMILY ,False        ,BC    ,                    ,False      ,V5J3B3  ,49.208305 ,               ,       1419100.0 ,                 ,CAN     ,False                   ,        2 ,           ,False           ,           ,sqft        ,Burnaby ,FOR_SALE         ,CAD      ,FOR_SALE   ,        ,    1750000 ,                ,      1754 ,[object Object]  ,False         ,False            ,True               ,-1
      32 ,listing_url , 314477917 ,2023-11-01   ,FALSE             ,     3920.4  ,5567 Clinton St           ,            ,       5 ,-122.98352  ,              ,          ,            ,SINGLE_FAMILY ,False        ,BC    ,                    ,False      ,V5J2L9  ,49.213257 ,               ,       1345000.0 ,                 ,CAN     ,False                   ,        3 ,           ,False           ,           ,sqft        ,Burnaby ,FOR_SALE         ,CAD      ,FOR_SALE   ,1938000 ,    1938000 ,                ,      2376 ,[object Object]  ,False         ,False            ,True               ,-1
      33 ,listing_url , 314479284 ,2023-11-01   ,FALSE             ,        0.98 ,5142 Marine Dr            ,            ,       7 ,-122.98964  ,              ,          ,            ,SINGLE_FAMILY ,False        ,BC    ,                    ,False      ,V5J3G6  ,49.205997 ,               ,       2635000.0 ,                 ,CAN     ,False                   ,        4 ,           ,False           ,           ,acres       ,Burnaby ,FOR_SALE         ,CAD      ,FOR_SALE   ,3499000 ,    3499000 ,                ,      4625 ,[object Object]  ,False         ,False            ,True               ,-1
      34 ,listing_url , 314475642 ,2023-11-01   ,FALSE             ,     7405.2  ,4242 Hurst St             ,            ,       8 ,-123.00985  ,              ,          ,            ,SINGLE_FAMILY ,False        ,BC    ,                    ,False      ,V5J1M7  ,49.219967 ,               ,       2354000.0 ,                 ,CAN     ,False                   ,        7 ,           ,False           ,           ,sqft        ,Burnaby ,FOR_SALE         ,CAD      ,FOR_SALE   ,3650000 ,    3650000 ,                ,      4035 ,[object Object]  ,False         ,False            ,True               ,-1
      35 ,listing_url , 314484898 ,2023-11-01   ,FALSE             ,     9147.6  ,7298 Willingdon Ave       ,            ,       3 ,-123.01     ,              ,          ,            ,SINGLE_FAMILY ,False        ,BC    ,                    ,False      ,V5J3R7  ,49.217594 ,               ,       1641900.0 ,                 ,CAN     ,False                   ,        2 ,           ,False           ,           ,sqft        ,Burnaby ,FOR_SALE         ,CAD      ,FOR_SALE   ,2150000 ,    2150000 ,                ,      1955 ,[object Object]  ,False         ,False            ,True               ,-1
      36 ,listing_url , 314485645 ,2023-11-01   ,FALSE             ,     7840.8  ,6988 Sussex Ave           ,            ,       8 ,-123.00458  ,              ,          ,            ,SINGLE_FAMILY ,False        ,BC    ,                    ,False      ,V5J3V2  ,49.22055  ,               ,       2251000.0 ,                 ,CAN     ,False                   ,        5 ,           ,False           ,           ,sqft        ,Burnaby ,FOR_SALE         ,CAD      ,FOR_SALE   ,3560000 ,    3560000 ,                ,      3965 ,[object Object]  ,False         ,False            ,True               ,-1
      37 ,listing_url ,2054564338 ,2023-11-01   ,FALSE             ,        0.0  ,6888 Royal Oak Ave #416   ,# 416       ,       2 ,-122.988205 ,              ,          ,            ,CONDO         ,False        ,BC    ,                    ,False      ,V5J4J2  ,49.221165 ,               ,                 ,                 ,CAN     ,False                   ,        2 ,           ,False           ,           ,sqft        ,Burnaby ,FOR_SALE         ,CAD      ,FOR_SALE   , 798800 ,     798800 ,                ,       885 ,[object Object]  ,False         ,False            ,True               ,-1
      38 ,listing_url ,2054478568 ,2023-11-01   ,FALSE             ,        0.0  ,6283 Kingsway PENTHOUSE 7 ,Penthouse 7 ,       2 ,-122.972786 ,              ,          ,            ,CONDO         ,False        ,BC    ,                    ,False      ,V5J0H3  ,49.22038  ,               ,                 ,                 ,CAN     ,False                   ,        2 ,           ,False           ,           ,sqft        ,Burnaby ,FOR_SALE         ,CAD      ,FOR_SALE   , 718800 ,     718800 ,                ,       741 ,[object Object]  ,False         ,False            ,True               ,-1
      39 ,listing_url ,2054777145 ,2023-11-01   ,FALSE             ,        0.0  ,5051 Imperial St #1303    ,# 1303      ,       2 ,-122.99209  ,              ,          ,            ,CONDO         ,False        ,BC    ,                    ,False      ,V5J0J3  ,49.222115 ,               ,                 ,                 ,CAN     ,False                   ,        2 ,           ,False           ,           ,sqft        ,Burnaby ,FOR_SALE         ,CAD      ,FOR_SALE   , 929900 ,     929900 ,                ,       839 ,[object Object]  ,False         ,False            ,True               ,-1
      40 ,listing_url ,2065565160 ,2023-11-01   ,FALSE             ,        0.0  ,6968 Royal Oak Ave #211   ,# 211       ,       2 ,-122.98816  ,              ,          ,            ,CONDO         ,False        ,BC    ,                    ,False      ,V5J4J2  ,49.22036  ,               ,                 ,                 ,CAN     ,False                   ,        2 ,           ,False           ,           ,sqft        ,Burnaby ,FOR_SALE         ,CAD      ,FOR_SALE   , 729000 ,     729000 ,                ,       756 ,[object Object]  ,False         ,False            ,True               ,-1
      41 ,listing_url ,2062208999 ,2023-11-01   ,FALSE             ,        0.0  ,5665 Irmin St #309        ,# 309       ,       1 ,-122.981125 ,              ,          ,            ,CONDO         ,False        ,BC    ,                    ,False      ,V5J0C4  ,49.21604  ,               ,                 ,                 ,CAN     ,False                   ,        1 ,           ,False           ,           ,sqft        ,Burnaby ,FOR_SALE         ,CAD      ,FOR_SALE   , 538000 ,     538000 ,                ,       515 ,[object Object]  ,False         ,False            ,True               ,-1
