index_id ,result_from ,zpid       ,creationDate ,isShowcaseListing ,lotAreaValue   ,streetAddress            ,unit   ,bedrooms ,longitude  ,rentZestimate ,zestimate ,priceChange ,homeType      ,isUnmappable ,state ,newConstructionType ,isFeatured ,zipcode ,latitude  ,priceReduction     ,taxAssessedValue ,datePriceChanged ,country ,isPreforeclosureAuction ,bathrooms ,openHouse     ,shouldHighlight ,videoCount ,lotAreaUnit ,city    ,homeStatusForHDP ,currency ,homeStatus ,price  ,priceForHDP ,open_house_info ,livingArea ,listing_sub_type ,isZillowOwned ,isPremierBuilder ,isNonOwnerOccupied ,daysOnZillow
      11 ,listing_url ,2076522786 ,2023-08-01   ,FALSE             ,1900           ,3220 Hutchins St #A      ,# A    ,       3 ,-95.36726  ,         1380 ,          ,            ,TOWNHOUSE     ,FALSE        ,TX    ,                    ,FALSE      ,  77004 ,29.73508  ,                   ,                 ,                 ,USA     ,FALSE                   ,        4 ,Sat. 12-3pm   ,FALSE           ,           ,sqft        ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   ,494990 ,     494990 ,[object Object] ,      2175 ,[object Object]  ,FALSE         ,FALSE            ,TRUE               ,-1
      12 ,listing_url , 126314922 ,2023-08-01   ,FALSE             ,1775           ,3125 Arbor St            ,       ,       3 ,-95.36726  ,         2778 ,   403300 ,            ,TOWNHOUSE     ,FALSE        ,TX    ,                    ,FALSE      ,  77004 ,29.72026  ,                   ,          411885 ,                 ,USA     ,FALSE                   ,        4 ,              ,FALSE           ,           ,sqft        ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   ,407000 ,     407000 ,                ,      2150 ,[object Object]  ,FALSE         ,FALSE            ,TRUE               ,-1
      13 ,listing_url ,  97653696 ,2023-08-01   ,FALSE             ,   0.788544536 ,3501 Chenevert St APT 22 ,Apt 22 ,       3 ,-95.37174  ,         2595 ,   313800 ,-10000      ,CONDO         ,FALSE        ,TX    ,                    ,FALSE      ,  77004 ,29.735226 ,"$10,000 (Jul 10)" ,          253563 ,1.68897E+12      ,USA     ,FALSE                   ,        3 ,              ,FALSE           ,           ,acres       ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   ,289000 ,     289000 ,                ,      1763 ,[object Object]  ,FALSE         ,FALSE            ,TRUE               ,-1
      14 ,listing_url ,  27811211 ,2023-08-01   ,FALSE             ,1650.924       ,2903 Burkett St          ,       ,       2 ,-95.35598  ,         1500 ,   140700 ,            ,SINGLE_FAMILY ,FALSE        ,TX    ,                    ,FALSE      ,  77004 ,29.732458 ,                   ,           82495 ,                 ,USA     ,FALSE                   ,        1 ,              ,FALSE           ,           ,sqft        ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   ,150000 ,     150000 ,                ,       672 ,[object Object]  ,FALSE         ,FALSE            ,TRUE               ,-1
      15 ,listing_url ,2068435859 ,2023-08-01   ,FALSE             ,2400.156       ,3344 Francis St          ,       ,       3 ,-95.35445  ,         2685 ,   380900 ,-3000       ,SINGLE_FAMILY ,FALSE        ,TX    ,                    ,FALSE      ,  77004 ,29.728506 ,"$3,000 (Aug 22)"  ,                 ,1.69269E+12      ,USA     ,FALSE                   ,        3 ,              ,FALSE           ,           ,sqft        ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   ,379000 ,     379000 ,                ,      1628 ,[object Object]  ,FALSE         ,FALSE            ,TRUE               ,-1
      16 ,listing_url ,  27764554 ,2023-08-01   ,FALSE             ,3998.808       ,3438 Simmons St          ,       ,       3 ,-95.35243  ,         1483 ,   146700 ,            ,SINGLE_FAMILY ,FALSE        ,TX    ,                    ,FALSE      ,  77004 ,29.727095 ,                   ,           94121 ,                 ,USA     ,FALSE                   ,        1 ,              ,FALSE           ,           ,sqft        ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   ,150000 ,     150000 ,                ,       912 ,[object Object]  ,FALSE         ,FALSE            ,TRUE               ,-1
      17 ,listing_url ,  27850886 ,2023-08-01   ,FALSE             ,5248.98        ,2911 Wheeler St          ,       ,       4 ,-95.366295 ,         2880 ,   472200 ,-15001      ,SINGLE_FAMILY ,FALSE        ,TX    ,                    ,FALSE      ,  77004 ,29.72437  ,"$15,001 (Aug 3)"  ,          223774 ,1.69105E+12      ,USA     ,FALSE                   ,        4 ,              ,FALSE           ,           ,sqft        ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   ,499999 ,     499999 ,                ,      2428 ,[object Object]  ,FALSE         ,FALSE            ,TRUE               ,-1
      18 ,listing_url ,  80512121 ,2023-08-01   ,FALSE             ,1921           ,1408 Alabama St          ,       ,       4 ,-95.37642  ,         3099 ,   456000 ,-10000      ,SINGLE_FAMILY ,FALSE        ,TX    ,                    ,FALSE      ,  77004 ,29.73537  ,"$10,000 (Aug 14)" ,          403000 ,1.692E+12        ,USA     ,FALSE                   ,        4 ,Sun. 1-3pm    ,FALSE           ,           ,sqft        ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   ,465000 ,     465000 ,[object Object] ,      2340 ,[object Object]  ,FALSE         ,FALSE            ,TRUE               ,-1
      19 ,listing_url , 122567472 ,2023-08-01   ,FALSE             ,2056.032       ,2709A Chenevert St       ,       ,       3 ,-95.367836 ,         2429 ,   385200 ,            ,SINGLE_FAMILY ,FALSE        ,TX    ,                    ,FALSE      ,  77004 ,29.740221 ,                   ,          343922 ,                 ,USA     ,FALSE                   ,        3 ,Sat. 12-2pm   ,FALSE           ,           ,sqft        ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   ,389900 ,     389900 ,[object Object] ,      1655 ,[object Object]  ,FALSE         ,FALSE            ,TRUE               ,-1
      20 ,listing_url ,  80517842 ,2023-08-01   ,FALSE             ,1728           ,5505 Crawford St         ,       ,       3 ,-95.38383  ,         3956 ,   589700 ,            ,TOWNHOUSE     ,FALSE        ,TX    ,                    ,FALSE      ,  77004 ,29.723072 ,                   ,          486508 ,                 ,USA     ,FALSE                   ,        4 ,              ,FALSE           ,           ,sqft        ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   ,600000 ,     600000 ,                ,      2716 ,[object Object]  ,FALSE         ,FALSE            ,TRUE               ,-1
