index_id ,result_from ,creationDate ,daysOnZillow ,isPreforeclosureAuction ,lotAreaValue            ,latitude  ,livingArea ,streetAddress         ,shouldHighlight ,isNonOwnerOccupied ,longitude  ,price   ,isFeatured ,priceChange ,listing_sub_type ,rentZestimate ,newConstructionType ,homeStatusForHDP ,zpid      ,currency ,isUnmappable ,isShowcaseListing ,bathrooms ,open_house_info ,priceReduction      ,state ,homeStatus ,openHouse   ,bedrooms ,taxAssessedValue ,city     ,zipcode ,isPremierBuilder ,lotAreaUnit ,priceForHDP ,homeType      ,country ,datePriceChanged ,isZillowOwned ,zestimate ,timeOnZillow
      12 ,listing_url ,2024-04-30   ,         180 ,false                   , 6124.536               ,29.703876 ,      1754 ,4305 Ione St          ,false           ,true               ,-95.44793  , 475000 ,false      ,-20000      ,[object Object]  ,         2355 ,                    ,FOR_SALE         , 27835971 ,USD      ,false        ,false             ,        3 ,                ,"$20,000 (Mar 1)"   ,TX    ,FOR_SALE   ,            ,       4 ,          523623 ,Bellaire ,  77401 ,false            ,sqft        ,     475000 ,SINGLE_FAMILY ,USA     ,   1709280000000 ,false         ,   444600 , 15575784000
      13 ,listing_url ,2024-04-30   ,           3 ,false                   , 5127.012               ,29.697544 ,      3894 ,4321 Verone St        ,false           ,true               ,-95.44834  ,1129000 ,false      ,            ,[object Object]  ,         6314 ,                    ,FOR_SALE         , 27836344 ,USD      ,false        ,false             ,        4 ,[object Object] ,                    ,TX    ,FOR_SALE   ,Sat. 12-3pm ,       4 ,          989400 ,Bellaire ,  77401 ,false            ,sqft        ,    1129000 ,SINGLE_FAMILY ,USA     ,                 ,false         ,  1141400 ,   319351000
      14 ,listing_url ,2024-04-30   ,          45 ,false                   , 7474.896               ,29.690302 ,      2320 ,4523 Mimosa Dr        ,false           ,true               ,-95.45364  , 675000 ,false      ,-24000      ,[object Object]  ,         4367 ,                    ,FOR_SALE         , 27945954 ,USD      ,false        ,false             ,        2 ,                ,"$24,000 (Apr 28)"  ,TX    ,FOR_SALE   ,            ,       4 ,          485196 ,Bellaire ,  77401 ,false            ,sqft        ,     675000 ,SINGLE_FAMILY ,USA     ,   1714287600000 ,false         ,   637100 ,  3967435000
      15 ,listing_url ,2024-04-30   ,          11 ,false                   , 7344.216               ,29.690683 ,      4669 ,5102 Mimosa Dr        ,false           ,true               ,-95.468155 ,1795000 ,false      ,46000       ,[object Object]  ,        10534 ,BUILDER_SPEC        ,FOR_SALE         , 27967708 ,USD      ,false        ,false             ,        6 ,                ,                    ,TX    ,FOR_SALE   ,            ,       4 ,          418665 ,Bellaire ,  77401 ,false            ,sqft        ,    1795000 ,SINGLE_FAMILY ,USA     ,   1713510000000 ,false         ,  1756500 ,  1002254000
      16 ,listing_url ,2024-04-30   ,          15 ,false                   , 5127.012               ,29.703613 ,      4013 ,4302 Jane St          ,false           ,true               ,-95.44776  ,1099000 ,false      ,-51000      ,[object Object]  ,         5780 ,                    ,FOR_SALE         , 27835989 ,USD      ,false        ,false             ,        4 ,[object Object] ,"$51,000 (Apr 29)"  ,TX    ,FOR_SALE   ,Sun. 1-3pm  ,       4 ,          924800 ,Bellaire ,  77401 ,false            ,sqft        ,    1099000 ,SINGLE_FAMILY ,USA     ,   1714374000000 ,false         ,  1073000 ,  1300862000
      17 ,listing_url ,2024-04-30   ,          47 ,false                   , 7501.032               ,29.710949 ,      3610 ,5110 Beech St         ,false           ,true               ,-95.469055 ,1175000 ,false      ,-50000      ,[object Object]  ,         7396 ,                    ,FOR_SALE         , 27744886 ,USD      ,false        ,false             ,        4 ,                ,"$50,000 (Apr 25)"  ,TX    ,FOR_SALE   ,            ,       4 ,         1108046 ,Bellaire ,  77401 ,false            ,sqft        ,    1175000 ,SINGLE_FAMILY ,USA     ,   1714028400000 ,false         ,  1113100 ,  4091421000
      18 ,listing_url ,2024-04-30   ,          18 ,false                   , 8450.64                ,29.69194  ,      4669 ,4705 Holt St          ,false           ,true               ,-95.46011  ,1795000 ,false      ,46000       ,[object Object]  ,        10535 ,BUILDER_SPEC        ,FOR_SALE         , 27947924 ,USD      ,false        ,false             ,        6 ,                ,                    ,TX    ,FOR_SALE   ,            ,       4 ,          523050 ,Bellaire ,  77401 ,false            ,sqft        ,    1795000 ,SINGLE_FAMILY ,USA     ,   1712905200000 ,false         ,  1730800 ,  1567702000
      19 ,listing_url ,2024-04-30   ,         164 ,false                   , 8921.088               ,29.694645 ,      4957 ,4705 Pine St          ,false           ,true               ,-95.46022  ,1249900 ,false      ,-50000      ,[object Object]  ,         7269 ,                    ,FOR_SALE         , 55481544 ,USD      ,false        ,false             ,        6 ,[object Object] ,"$50,000 (Apr 16)"  ,TX    ,FOR_SALE   ,Sun. 2-4pm  ,       5 ,         1390514 ,Bellaire ,  77401 ,false            ,sqft        ,    1249900 ,SINGLE_FAMILY ,USA     ,   1713250800000 ,false         ,  1154500 , 14169857000
      20 ,listing_url ,2024-04-30   ,          26 ,false                   , 6403.32                ,29.69792  ,      4788 ,140 Whipple Dr        ,false           ,true               ,-95.46719  ,1950000 ,false      ,-45000      ,[object Object]  ,         8352 ,BUILDER_SPEC        ,FOR_SALE         , 27917634 ,USD      ,false        ,false             ,        6 ,[object Object] ,"$45,000 (Apr 30)"  ,TX    ,FOR_SALE   ,Sat. 1-4pm  ,       5 ,          392648 ,Bellaire ,  77401 ,false            ,sqft        ,    1950000 ,SINGLE_FAMILY ,USA     ,   1714460400000 ,false         ,  1862800 ,  2316133000
      21 ,listing_url ,2024-04-30   ,           5 ,false                   , 8450.64                ,29.694304 ,      6980 ,4924 Valerie St       ,false           ,true               ,-95.4657   ,1750000 ,false      ,            ,[object Object]  ,        10518 ,                    ,FOR_SALE         , 27947783 ,USD      ,false        ,false             ,        5 ,                ,                    ,TX    ,FOR_SALE   ,            ,       5 ,         1743406 ,Bellaire ,  77401 ,false            ,sqft        ,    1750000 ,SINGLE_FAMILY ,USA     ,                 ,false         ,  1750200 ,   457583000
      22 ,listing_url ,2024-04-30   ,         114 ,false                   , 8041.176               ,29.708204 ,      4654 ,4657 Spruce St        ,false           ,true               ,-95.458984 ,1250000 ,false      ,-25000      ,[object Object]  ,         7246 ,                    ,FOR_SALE         , 27932951 ,USD      ,false        ,false             ,        5 ,                ,"$25,000 (Apr 22)"  ,TX    ,FOR_SALE   ,            ,       4 ,         1417000 ,Bellaire ,  77401 ,false            ,sqft        ,    1250000 ,SINGLE_FAMILY ,USA     ,   1713769200000 ,false         ,  1171900 ,  9930850000
