index_id ,result_from ,creationDate ,unit   ,homeStatusForHDP ,zpid       ,priceForHDP ,zipcode ,bathrooms ,state ,country ,homeType      ,streetAddress           ,isNonOwnerOccupied ,isFeatured ,latitude  ,daysOnZillow ,city    ,isUnmappable ,open_house_info ,isPremierBuilder ,longitude  ,listing_sub_type ,price  ,bedrooms ,lotAreaUnit ,livingArea ,shouldHighlight ,isPreforeclosureAuction ,homeStatus ,lotAreaValue       ,isZillowOwned ,isShowcaseListing ,openHouse  ,currency
      15 ,listing_url ,2024-04-30   ,       ,FOR_SALE         ,2062758068 ,     850000 ,N9B3X6  ,        3 ,ON    ,CAN     ,SINGLE_FAMILY ,2155 Mark Ave           ,true               ,false      ,42.281586 ,-1           ,Windsor ,false        ,                ,false            ,-83.03926  ,[object Object]  ,850000 ,       5 ,            ,           ,false           ,false                   ,FOR_SALE   ,                   ,false         ,false             ,           ,CAD
      16 ,listing_url ,2024-04-30   ,       ,FOR_SALE         , 347636995 ,     949900 ,N9B2Y9  ,        3 ,ON    ,CAN     ,SINGLE_FAMILY ,528 California Ave      ,true               ,false      ,          ,-1           ,Windsor ,false        ,                ,false            ,           ,[object Object]  ,949900 ,       9 ,sqft        ,           ,false           ,false                   ,FOR_SALE   ,4878.72            ,false         ,false             ,           ,CAD
      17 ,listing_url ,2024-04-30   ,       ,FOR_SALE         , 347327647 ,     299888 ,N9B2B8  ,        2 ,ON    ,CAN     ,SINGLE_FAMILY ,449 Curry Ave           ,true               ,false      ,42.30963  ,-1           ,Windsor ,false        ,                ,false            ,-83.05505  ,[object Object]  ,299888 ,       4 ,            ,           ,false           ,false                   ,FOR_SALE   ,                   ,false         ,false             ,           ,CAD
      18 ,listing_url ,2024-04-30   ,       ,FOR_SALE         , 348462360 ,     369000 ,N9B1R4  ,        2 ,ON    ,CAN     ,SINGLE_FAMILY ,2286 Girardot St        ,true               ,false      ,42.297062 ,-1           ,Windsor ,false        ,                ,false            ,-83.05692  ,[object Object]  ,369000 ,       5 ,            ,           ,false           ,false                   ,FOR_SALE   ,                   ,false         ,false             ,           ,CAD
      19 ,listing_url ,2024-04-30   ,       ,FOR_SALE         , 348531959 ,     649900 ,N9B3X3  ,        2 ,ON    ,CAN     ,SINGLE_FAMILY ,2248 Everts Ave         ,true               ,false      ,42.280285 ,-1           ,Windsor ,false        ,                ,false            ,-83.0366   ,[object Object]  ,649900 ,       3 ,            ,      1400 ,false           ,false                   ,FOR_SALE   ,                   ,false         ,false             ,           ,CAD
      20 ,listing_url ,2024-04-30   ,       ,FOR_SALE         , 348259074 ,     699900 ,N9B3Y5  ,        2 ,ON    ,CAN     ,SINGLE_FAMILY ,2241 Askin Ave          ,true               ,false      ,42.27709  ,-1           ,Windsor ,false        ,                ,false            ,-83.04472  ,[object Object]  ,699900 ,       4 ,sqft        ,           ,false           ,false                   ,FOR_SALE   ,   0               ,false         ,false             ,           ,CAD
      21 ,listing_url ,2024-04-30   ,       ,FOR_SALE         ,2056507110 ,     569000 ,N9B2B4  ,        3 ,ON    ,CAN     ,SINGLE_FAMILY ,215 Curry Ave           ,true               ,false      ,          ,-1           ,Windsor ,false        ,                ,false            ,           ,[object Object]  ,569000 ,       4 ,            ,           ,false           ,false                   ,FOR_SALE   ,                   ,false         ,false             ,           ,CAD
      22 ,listing_url ,2024-04-30   ,       ,FOR_SALE         ,2067882755 ,     445000 ,N9B2M3  ,        2 ,ON    ,CAN     ,SINGLE_FAMILY ,541 Bridge Ave          ,true               ,false      ,42.30718  ,-1           ,Windsor ,false        ,                ,false            ,-83.05865  ,[object Object]  ,445000 ,       4 ,            ,           ,false           ,false                   ,FOR_SALE   ,                   ,false         ,false             ,           ,CAD
      23 ,listing_url ,2024-04-30   ,       ,FOR_SALE         ,2067882602 ,     509000 ,N9B2A9  ,        2 ,ON    ,CAN     ,SINGLE_FAMILY ,1206 McKay Ave          ,true               ,false      ,          ,-1           ,Windsor ,false        ,                ,false            ,           ,[object Object]  ,509000 ,       4 ,            ,           ,false           ,false                   ,FOR_SALE   ,                   ,false         ,false             ,           ,CAD
      24 ,listing_url ,2024-04-30   ,       ,FOR_SALE         , 347741185 ,     499900 ,N9B2M3  ,        2 ,ON    ,CAN     ,SINGLE_FAMILY ,445 Bridge Ave          ,true               ,false      ,42.30826  ,-1           ,Windsor ,false        ,                ,false            ,-83.05935  ,[object Object]  ,499900 ,       7 ,            ,           ,false           ,false                   ,FOR_SALE   ,                   ,false         ,false             ,           ,CAD
